instance,solved,num_genotipos,num_sitios,solucion,time,num_clausulas,num_variables
instances/ms_10_6.txt,1,5,6,3,0.00015699999999999742,978,1692
instances/ms_16_3.txt,1,8,3,4,0.00013400000000000217,1740,1001
instances/ms_2_10.txt,1,1,10,2,2.2000000000004655e-05,166,856
instances/ms_2_11.txt,1,1,11,2,2.6999999999999247e-05,182,1029
instances/ms_2_12.txt,1,1,12,2,3.199999999999731e-05,198,1218
instances/ms_2_13.txt,1,1,13,2,3.400000000000278e-05,214,1423
instances/ms_2_14.txt,1,1,14,2,3.599999999999784e-05,230,1644
instances/ms_2_15.txt,1,1,15,2,3.999999999999837e-05,246,1881
instances/ms_2_16.txt,1,1,16,2,4.500000000000337e-05,262,2134
instances/ms_2_17.txt,1,1,17,2,4.900000000000043e-05,278,2403
instances/ms_2_18.txt,1,1,18,2,5.4999999999999494e-05,294,2688
instances/ms_2_19.txt,1,1,19,2,6.0000000000001025e-05,310,2989
instances/ms_2_2.txt,1,1,2,2,8.999999999998592e-06,38,48
instances/ms_2_20.txt,1,1,20,2,6.700000000000109e-05,326,3306
instances/ms_2_21.txt,1,1,21,2,7.000000000000409e-05,342,3639
instances/ms_2_22.txt,1,1,22,2,7.599999999999968e-05,358,3988
instances/ms_2_3.txt,1,1,3,2,8.999999999998592e-06,54,93
instances/ms_2_4.txt,1,1,4,2,1.2000000000001593e-05,70,154
instances/ms_2_5.txt,1,1,5,2,1.2999999999999123e-05,86,231
instances/ms_2_6.txt,1,1,6,2,1.2999999999999123e-05,102,324
instances/ms_2_7.txt,1,1,7,2,1.5999999999995185e-05,118,433
instances/ms_2_8.txt,1,1,8,2,1.8000000000004124e-05,134,558
instances/ms_2_9.txt,1,1,9,2,2.1000000000000185e-05,150,699
instances/ms_4_10.txt,1,2,10,3,7.199999999999915e-05,364,1300
instances/ms_4_11.txt,1,2,11,3,0.00012200000000000058,454,2249
instances/ms_4_12.txt,1,2,12,3,0.00011300000000000199,432,1918
instances/ms_4_13.txt,1,2,13,3,0.00013200000000000017,480,2509
instances/ms_4_15.txt,1,2,15,3,0.00021699999999999844,632,4429
instances/ms_4_16.txt,1,2,16,3,0.0006000000000000033,694,5310
instances/ms_4_17.txt,1,2,17,3,0.00021400000000000238,644,4437
instances/ms_4_18.txt,1,2,18,3,0.0002649999999999979,706,5452
instances/ms_4_19.txt,1,2,19,3,0.0002559999999999993,698,5485
instances/ms_4_2.txt,1,2,2,3,2.9999999999998778e-05,106,104
instances/ms_4_20.txt,1,2,20,3,0.0003270000000000009,746,6130
instances/ms_4_21.txt,1,2,21,3,0.00048100000000000226,962,10389
instances/ms_4_3.txt,1,2,3,2,1.8999999999998185e-05,78,114
instances/ms_4_4.txt,1,2,4,2,1.0999999999997123e-05,100,154
instances/ms_4_5.txt,1,2,5,3,3.500000000000031e-05,194,385
instances/ms_4_6.txt,1,2,6,3,4.900000000000043e-05,228,496
instances/ms_4_7.txt,1,2,7,3,7.500000000000215e-05,276,839
instances/ms_4_8.txt,1,2,8,3,8.099999999999774e-05,338,1198
instances/ms_4_9.txt,1,2,9,3,7.100000000000162e-05,330,1189
instances/ms_6_17.txt,1,3,17,4,0.0010059999999999965,2076,12777
instances/ms_6_2.txt,1,3,2,2,2.8999999999997778e-05,186,180
instances/ms_6_21.txt,1,3,21,3,0.0003129999999999973,1176,7068
instances/ms_6_5.txt,1,3,5,3,3.500000000000378e-05,312,522
instances/ms_8_11.txt,1,4,11,3,0.0004850000000000028,1616,9195
instances/ms_8_3.txt,1,4,3,4,0.00010499999999999746,464,480
